127.0.0.1 - - [26/Apr/2017:10:01:37 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/css/templatemo-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:38 +0530] "GET /hotel/css/fonts/flexslider-icon.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/templatemo-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/templatemo-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:01:51 +0530] "GET /hotel/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:06 +0530] "GET /hotel/ HTTP/1.1" 200 16395
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:06 +0530] "GET /hotel/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:06 +0530] "GET /hotel/css/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:06 +0530] "GET /hotel/css/templatemo-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:06 +0530] "GET /hotel/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:06 +0530] "GET /hotel/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/js/jquery-1.11.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/img/banner-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/img/banner-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/img/banner-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/img/index-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/img/index-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/js/moment.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/js/bootstrap-datetimepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/js/templatemo-script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:07 +0530] "GET /hotel/css/fonts/flexslider-icon.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:11 +0530] "GET /hotel/about.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:11 +0530] "GET /hotel/img/about-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:11 +0530] "GET /hotel/img/about-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:11 +0530] "GET /hotel/img/about-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:11 +0530] "GET /hotel/img/about-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:11 +0530] "GET /hotel/img/about-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:15 +0530] "GET /hotel/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:15 +0530] "GET /hotel/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:10:02:15 +0530] "GET /hotel/css/fonts/flexslider-icon.eot? HTTP/1.1" 304 -
