what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493034436166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493034441961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493034444320
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493034444913
error,log,,,"Errors occurred during the build.",1493034444921
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034444930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034446871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034448112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034452057
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034456048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493034460854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493034464154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493034466152
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493034466756
error,log,,,"Errors occurred during the build.",1493034466762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034466788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034532061
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034539048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493034547838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493034552128
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493034554603
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493034555222
error,log,,,"Errors occurred during the build.",1493034555230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034555241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034556784
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034562969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493034572913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493034574899
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493034575440
error,log,,,"Errors occurred during the build.",1493034575450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034575579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034593093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034608011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034611548
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034611562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493034628120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493034630366
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493034630975
error,log,,,"Errors occurred during the build.",1493034630982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034630992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034632036
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034634105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493034642839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493034644880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493034645487
error,log,,,"Errors occurred during the build.",1493034645493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034645504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034646729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034652297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034654605
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034654618
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034673935
closed,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034673935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034676992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034719821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034729920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034746067
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034751095
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493034766002
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493034766610
error,log,,,"Errors occurred during the build.",1493034766624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034766624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034768434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034769774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034798987
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034800663
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493034807367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034810919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493034816290
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1493034816301
