what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493033108961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033115625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033131037
opened,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033131117
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033131147
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493033131707
error,log,,,"Errors occurred during the build.",1493033131716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033131735
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033134917
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493033136178
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033137985
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033139706
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493033170779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033177693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033185894
opened,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033185955
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033185983
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493033186537
error,log,,,"Errors occurred during the build.",1493033186544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033186554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033189993
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033195002
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033195834
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493033218401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033222667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493033257269
opened,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033257354
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493033257386
