what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037850827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037854768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037856086
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1493037856100
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493037856655
error,log,,,"Errors occurred during the build.",1493037856661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037856670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037858085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037861113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037866710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037868096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037869830
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493037873768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037878293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037880196
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.launchShortcut.run",1493037880206
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493037882637
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493037882652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1493037889154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037909849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037953076
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493037955143
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493037973472
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038039181
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493038044616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038064151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038149484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038169927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038175724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493038192175
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493038192807
error,log,,,"Errors occurred during the build.",1493038192815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038192835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038210859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493038235884
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1493038236516
error,log,,,"Errors occurred during the build.",1493038236524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038236542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038237612
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038239191
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038264196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493038378518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493039378443
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493039401081
closed,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493039401081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493039404575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493039405901
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493039406104
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1493039406529
