what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896376182
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896376196
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1493896384724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896384819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896386540
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493896387686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896390491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896395735
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493896401365
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493896404585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896406127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896407522
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.launchShortcut.run",1493896407534
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896407600
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896407615
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896409375
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896412038
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896412761
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896412761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896415402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896425157
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493896426409
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1493896426409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1493896428357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1493896428681
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1493896428981
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493896430748
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896432107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493896520294
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1493896521886
