what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493099876997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100074881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493100095754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100103478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100113112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493100119072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100121896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100122988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100135844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100155392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100156578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100211944
opened,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493100215345
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493100215376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100229901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100237697
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493100257777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493100265390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100275878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100277219
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100362262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100377255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100405111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493100428858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100444212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100447005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100489626
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493100493154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493100514778
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100521580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100523093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100552338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100565816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100566924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100582087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100587765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100589434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100604535
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493100606126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100613289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100614521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100622623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100631024
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493100632818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100637950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100639042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100660420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100665131
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493100667580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100671948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100673009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100695702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100700865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100730871
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1493100733560
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493100735651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493100757430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493100766229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100768382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100769240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100791633
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493100813480
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493100815165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493100817624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493104032453
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493104040255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1493104064656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1493104077028
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1493104090212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493104098932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493104109253
opened,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493104131781
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1493104131796
